"","mdate","P_mm","MaxTemp_C","MinTemp_C"
"2053",2018-08-15,0,30.6,16.7
"2054",2018-08-16,0,32.8,17.2
"2055",2018-08-17,0,33.9,19.4
"2056",2018-08-18,0,33.9,21.1
"2057",2018-08-19,22.1,30,20.6
"2058",2018-08-20,1,30,20.6
"2059",2018-08-21,42.9,28.3,21.1
"2060",2018-08-22,0,28.3,20.6
"2061",2018-08-23,0,27.8,13.9
"2062",2018-08-24,0,26.7,12.2
"2063",2018-08-25,0,27.8,12.2
"2064",2018-08-26,0,30.6,13.3
"2065",2018-08-27,1,31.7,16.7
"2066",2018-08-28,0,33.9,20.6
"2067",2018-08-29,0,34.4,20.6
"2068",2018-08-30,0,34.4,21.1
"2069",2018-08-31,4.3,29.4,19
"2070",2018-09-01,0,31.1,19.4
"2071",2018-09-02,0,32.2,19.4
"2072",2018-09-03,0,33.3,19.4
"2073",2018-09-04,0,33.3,20
"2074",2018-09-05,0,33.3,20.6
"2075",2018-09-06,0,34.4,20
"2076",2018-09-07,0,34.4,20
"2077",2018-09-08,0,32.2,19.4
"2078",2018-09-09,17,19.4,16
"2079",2018-09-10,7.9,21.1,15.6
"2080",2018-09-11,7.6,26.7,15.6
"2081",2018-09-12,54.4,27.2,20
"2082",2018-09-13,1.5,29.4,21.1
"2083",2018-09-14,0.8,29.4,22.2
"2084",2018-09-15,4.1,25.6,21.1
"2085",2018-09-16,1.5,25,20
"2086",2018-09-17,75.7,28.9,22
"2087",2018-09-18,38.1,29.4,22.2
"2088",2018-09-19,0,31.7,17.2
"2089",2018-09-20,0,31.7,17.2
"2090",2018-09-21,0.5,30.6,18.9
"2091",2018-09-22,0,30.6,20.6
"2092",2018-09-23,58.7,30,16.7
"2093",2018-09-24,0.8,18.3,16.7
"2094",2018-09-25,3.6,25,16.7
"2095",2018-09-26,2.3,29.4,17.8
"2096",2018-09-27,0.5,29.4,15
"2097",2018-09-28,25.9,26.1,15
"2098",2018-09-29,0.5,26.1,14.4
"2099",2018-09-30,0,25.6,13.3
"2100",2018-10-01,0,27.8,13.3
"2101",2018-10-02,0,28.3,17.8
"2102",2018-10-03,0,30.6,17.8
"2103",2018-10-04,4.8,31.1,18.3
"2104",2018-10-05,0,31.1,18.3
"2105",2018-10-06,3.8,28.9,20
"2106",2018-10-07,0,30.6,20
"2107",2018-10-08,8.9,26.7,19
"2108",2018-10-09,0,27.8,19.4
"2109",2018-10-10,2.3,25.6,20
"2110",2018-10-11,16.3,23.3,20
"2111",2018-10-12,61.5,23.3,10
"2112",2018-10-13,0,19.4,10
"2113",2018-10-14,0,11.7,8
"2114",2018-10-15,1.5,26.7,8.3
"2115",2018-10-16,0.3,26.7,11.1
"2116",2018-10-17,1.5,20,11.7
"2117",2018-10-18,0,20,7.2
"2118",2018-10-19,0,20,2.8
"2119",2018-10-20,0,18.9,13.9
"2120",2018-10-21,0,19.4,5
"2121",2018-10-22,0,16.1,0
"2122",2018-10-23,0,21.7,0
"2123",2018-10-24,0,21.7,4.4
"2124",2018-10-25,0,16.1,1.1
"2125",2018-10-26,0.3,13.3,1.1
"2126",2018-10-27,28.2,15.6,6.1
"2127",2018-10-28,0,17.8,7.2
"2128",2018-10-29,3.3,17.8,8.9
"2129",2018-10-30,0,19.4,2.8
"2130",2018-10-31,0,24.4,2.8
"2131",2018-11-01,0,24.4,6.1
"2132",2018-11-02,1,21.7,10
"2133",2018-11-03,9.1,19.4,7.2
"2134",2018-11-04,0,14.4,0
"2135",2018-11-05,1.5,14.4,9
"2136",2018-11-06,0.3,19.4,9.4
"2137",2018-11-07,2.5,21.7,6.1
"2138",2018-11-08,0,21.7,6.1
"2139",2018-11-09,2.8,17.2,6.1
"2140",2018-11-10,7.6,10,1.1
"2141",2018-11-11,0,8.3,-5.6
"2142",2018-11-12,0,8.3,-5.6
"2143",2018-11-13,24.9,10,-1.7
"2144",2018-11-14,1,10,2.2
"2145",2018-11-15,7.4,6.1,0.6
"2146",2018-11-16,33.3,10,0.6
"2147",2018-11-17,0,14.4,2.2
"2148",2018-11-18,0,11.7,-0.6
"2149",2018-11-19,0,16.7,2.8
"2150",2018-11-20,0,12.2,6.7
"2151",2018-11-21,0,11.7,1.1
"2152",2018-11-22,0,11.1,2.8
"2153",2018-11-23,0,11.1,-1.7
"2154",2018-11-24,1,7.2,-1.7
"2155",2018-11-25,25.7,16.1,-1.7
"2156",2018-11-26,0,16.1,3.3
"2157",2018-11-27,0,4.4,-0.6
"2158",2018-11-28,0,3.3,-4.4
"2159",2018-11-29,0,11.1,-5
"2160",2018-11-30,1.3,16.1,5
"2161",2018-12-01,4.6,13.9,4
"2162",2018-12-02,3.8,13.9,3.9
"2163",2018-12-03,0.3,16.7,4.4
"2164",2018-12-04,0,16.7,3.9
"2165",2018-12-05,0,6.1,1.1
"2166",2018-12-06,0,7.2,-1.1
"2167",2018-12-07,0,7.2,-1.1
"2168",2018-12-08,0,4.4,-2
"2169",2018-12-09,3.8,4.4,-3.3
"2170",2018-12-10,29,7.2,-3.3
"2171",2018-12-11,0.3,7.2,-7.8
"2172",2018-12-12,0,6.7,-7.8
"2173",2018-12-13,0,9.4,-0.6
"2174",2018-12-14,0,9.4,-3.3
"2175",2018-12-15,15.7,8.3,2.2
"2176",2018-12-16,13.5,13.3,3.9
"2177",2018-12-17,4.6,14.4,5
"2178",2018-12-18,0,14.4,2.2
"2179",2018-12-19,0,11.1,-2.8
"2180",2018-12-20,0,10.6,-2.8
"2181",2018-12-21,39.6,15.6,0.6
"2182",2018-12-22,6.3,7.2,3.3
"2183",2018-12-23,0,11.1,-1.7
"2184",2018-12-24,0,11.1,-1.7
"2185",2018-12-25,0,8.9,-0.6
"2186",2018-12-26,0,8.9,-3.9
"2187",2018-12-27,0,8.3,-3.9
"2188",2018-12-28,21.6,11.1,-3.3
"2189",2018-12-29,17.8,15.6,3.3
"2190",2018-12-30,0,15.6,4.4
"2191",2018-12-31,0,14.4,4.4
"2192",2019-01-01,1.5,16.7,5
"2193",2019-01-02,0,16.7,3.9
"2194",2019-01-03,3.6,11.1,3.9
"2195",2019-01-04,2.5,11.1,2.2
"2196",2019-01-05,7.4,12.8,2.2
"2197",2019-01-06,0.5,17.2,4.4
"2198",2019-01-07,0,17.2,3.3
"2199",2019-01-08,0,18.9,3.3
"2200",2019-01-09,0,18.9,1.1
"2201",2019-01-10,0,1.7,-4.4
"2202",2019-01-11,0,5,-7.2
"2203",2019-01-12,0,5,-7.2
"2204",2019-01-13,15,1.1,-2.2
"2205",2019-01-14,0.8,2.2,-2
"2206",2019-01-15,0,5.6,-1.7
"2207",2019-01-16,0,7.2,-2.2
"2208",2019-01-17,0,7.2,-3.3
"2209",2019-01-18,2,10,-3.3
"2210",2019-01-19,0,10,0
"2211",2019-01-20,17.8,9.4,-6.1
"2212",2019-01-21,3,-2.8,-12.2
"2213",2019-01-22,0,2.2,-12.2
"2214",2019-01-23,0,8.3,-0.6
"2215",2019-01-24,11.2,12.8,0
"2216",2019-01-25,0.5,4.4,-1.1
"2217",2019-01-26,0,6.7,-3.9
"2218",2019-01-27,0,8.3,-3.9
"2219",2019-01-28,0,9.4,-3.9
"2220",2019-01-29,0,9.4,-2.2
"2221",2019-01-30,0.5,4.4,-7.2
"2222",2019-01-31,0,1.7,-12.8
"2223",2019-02-01,0,6.1,-12.8
"2224",2019-02-02,0,16.1,-5
"2225",2019-02-03,0,18.3,-3.9
"2226",2019-02-04,0,20,-0.6
"2227",2019-02-05,0,21.1,8.3
"2228",2019-02-06,0,21.7,6.1
"2229",2019-02-07,0.3,22.2,6.1
"2230",2019-02-08,3,22.2,6.7
"2231",2019-02-09,0,6.7,-2.2
"2232",2019-02-10,0,5.6,-5.6
"2233",2019-02-11,4.6,6.1,-5.6
"2234",2019-02-12,11.4,6.1,0
"2235",2019-02-13,5.3,10.6,1.1
"2236",2019-02-14,0,14.4,0.6
"2237",2019-02-15,0,16.1,9.4
"2238",2019-02-16,1.5,16.1,1.7
"2239",2019-02-17,9.7,10,0.6
"2240",2019-02-18,18.8,10,0.6
"2241",2019-02-19,1.3,10,-1.1
"2242",2019-02-20,15.5,7.2,-1.1
"2243",2019-02-21,20.1,16.1,0
"2244",2019-02-22,6.3,16.1,0.6
"2245",2019-02-23,25.1,6.7,3
"2246",2019-02-24,23.4,19.4,2
"2247",2019-02-25,8.1,19.4,2.2
"2248",2019-02-26,0,17.2,-1.1
"2249",2019-02-27,0,17.2,-1.1
"2250",2019-02-28,0,16.1,0.6
"2251",2019-03-01,4.6,16.1,2.2
"2252",2019-03-02,14.7,12.8,2
"2253",2019-03-03,0,12.8,2.2
"2254",2019-03-04,14,5.6,0
"2255",2019-03-05,0,5,-4.4
"2256",2019-03-06,0,5,-6.7
"2257",2019-03-07,0,8.3,-6.7
"2258",2019-03-08,0,8.3,-3.3
"2259",2019-03-09,3.6,3.9,0
"2260",2019-03-10,6.6,22.8,0.6
"2261",2019-03-11,3.8,22.8,1.1
"2262",2019-03-12,0,17.2,3.9
"2263",2019-03-13,0,16.7,-0.6
"2264",2019-03-14,0,20,6.7
"2265",2019-03-15,0,22.8,16.7
"2266",2019-03-16,0.3,22.8,3.9
"2267",2019-03-17,0,13.9,-0.6
"2268",2019-03-18,0,13.9,-0.6
"2269",2019-03-19,0,11.7,-3.3
"2270",2019-03-20,0,13.3,-3.3
"2271",2019-03-21,2.3,13.9,-1.1
"2272",2019-03-22,0,13.9,5
"2273",2019-03-23,0,15,3.3
"2274",2019-03-24,0,21.7,-2.2
"2275",2019-03-25,0,18.9,7.8
"2276",2019-03-26,2.3,18.3,6.1
"2277",2019-03-27,0,13.9,-1.1
"2278",2019-03-28,0,20,-1.1
"2279",2019-03-29,0,23.3,9.4
"2280",2019-03-30,0,25,8.3
"2281",2019-03-31,0,25,6.7
"2282",2019-04-01,0,10,-2.8
"2283",2019-04-02,0,11.1,-2.8
"2284",2019-04-03,0,21.7,-0.6
"2285",2019-04-04,0,22.8,1.1
"2286",2019-04-05,1,22.8,7.2
"2287",2019-04-06,12.2,21.7,8.9
"2288",2019-04-07,0,21.7,9.4
"2289",2019-04-08,1.5,26.1,12.8
"2290",2019-04-09,11.7,26.7,12.8
"2291",2019-04-10,0,25,7.8
"2292",2019-04-11,0,25,7.8
"2293",2019-04-12,0,23.9,10
"2294",2019-04-13,7.1,20.6,14.4
"2295",2019-04-14,0.5,22.2,13.3
"2296",2019-04-15,46.5,22.8,7.8
"2297",2019-04-16,0.8,22.2,3.3
"2298",2019-04-17,0,27.2,13.9
"2299",2019-04-18,0,28.3,12.2
"2300",2019-04-19,1.5,28.3,12.8
"2301",2019-04-20,30.5,22.2,10
"2302",2019-04-21,0,17.8,6.7
"2303",2019-04-22,0,25,6.1
"2304",2019-04-23,0,30,6.1
"2305",2019-04-24,0,27.8,19.4
"2306",2019-04-25,0,28.3,12.8
"2307",2019-04-26,0.3,26.1,12.8
"2308",2019-04-27,3.8,22.8,10
"2309",2019-04-28,0,27.2,10.6
"2310",2019-04-29,0,27.2,9.4
"2311",2019-04-30,0,31.7,9.4
"2312",2019-05-01,0,31.7,10.6
"2313",2019-05-02,0,31.1,15
"2314",2019-05-03,0,30.6,15
"2315",2019-05-04,18.8,29.4,15
"2316",2019-05-05,3.6,27.2,15.6
"2317",2019-05-06,4.1,25.6,12.8
"2318",2019-05-07,0,25.6,11.7
"2319",2019-05-08,3.3,28.3,11.7
"2320",2019-05-09,0,28.3,15
"2321",2019-05-10,0,27.2,18.3
"2322",2019-05-11,0,27.2,18.9
"2323",2019-05-12,8.4,25,18.9
"2324",2019-05-13,7.6,25,12.2
"2325",2019-05-14,0.3,20.6,10
"2326",2019-05-15,0,22.8,6.1
"2327",2019-05-16,0,26.7,6.1
"2328",2019-05-17,0,31.1,10
"2329",2019-05-18,1,32.8,12.8
"2330",2019-05-19,0.8,32.8,16.7
"2331",2019-05-20,0,32.2,16.7
"2332",2019-05-21,0,31.1,13.9
"2333",2019-05-22,0,27.8,12.8
"2334",2019-05-23,0,32.8,12.8
"2335",2019-05-24,0,33.3,18.9
"2336",2019-05-25,0,33.3,20
"2337",2019-05-26,3.3,32.8,20
"2338",2019-05-27,6.3,32.8,18.9
"2339",2019-05-28,0,33.9,18.9
"2340",2019-05-29,0,33.9,19.4
"2341",2019-05-30,4.8,32.8,18.9
"2342",2019-05-31,0,31.7,18.9
"2343",2019-06-01,10.2,30,15.6
"2344",2019-06-02,1,30,15
"2345",2019-06-03,0,30,15
"2346",2019-06-04,0,26.7,10
"2347",2019-06-05,0,26.7,10
"2348",2019-06-06,0,32.2,16.7
"2349",2019-06-07,2.5,22.8,20.6
"2350",2019-06-08,33,21.1,17
"2351",2019-06-09,53.8,21.1,17
"2352",2019-06-10,9.7,26.1,17.2
"2353",2019-06-11,12.4,26.1,16.7
"2354",2019-06-12,0,26.1,11.7
"2355",2019-06-13,2.8,25.6,11.7
"2356",2019-06-14,1.5,25.6,14.4
"2357",2019-06-15,0,28.9,11.1
"2358",2019-06-16,0,32.8,11.1
"2359",2019-06-17,1,32.8,18.9
"2360",2019-06-18,4.6,31.7,20
"2361",2019-06-19,3.3,29.4,19.4
"2362",2019-06-20,3.6,28.9,19.4
"2363",2019-06-21,0,28.9,19.4
"2364",2019-06-22,0,27.2,17.2
"2365",2019-06-23,0,27.8,14.4
"2366",2019-06-24,0,32.8,14.4
"2367",2019-06-25,7.1,32.8,17.8
"2368",2019-06-26,0,31.7,17.2
"2369",2019-06-27,0,32.8,17.2
"2370",2019-06-28,0,32.8,18.3
"2371",2019-06-29,0,33.9,20
"2372",2019-06-30,5.6,33.9,20
"2373",2019-07-01,0,33.3,20
"2374",2019-07-02,0,33.9,18.9
"2375",2019-07-03,0.3,33.9,18.9
"2376",2019-07-04,0,33.9,21.1
"2377",2019-07-05,1.8,32.8,21.1
"2378",2019-07-06,0,34.4,21.1
"2379",2019-07-07,0,34.4,21.7
"2380",2019-07-08,3.6,33.3,21.1
"2381",2019-07-09,0,33.3,21.1
"2382",2019-07-10,0,32.2,20.6
"2383",2019-07-11,0,32.2,20.6
"2384",2019-07-12,1,33.9,21.7
"2385",2019-07-13,0,33.9,20.6
"2386",2019-07-14,0,35.6,20.6
"2387",2019-07-15,0,35.6,21.1
"2388",2019-07-16,2.5,33.9,20.6
"2389",2019-07-17,0,33.9,20.6
"2390",2019-07-18,0,35,22.2
"2391",2019-07-19,0,36.1,23.3
"2392",2019-07-20,0,37.2,23.3
"2393",2019-07-21,0,37.2,22.2
"2394",2019-07-22,70.1,35,21.7
"2395",2019-07-23,22.6,30,17.8
"2396",2019-07-24,11.9,28.3,16.1
"2397",2019-07-25,0,29.4,14.4
"2398",2019-07-26,0,29.4,14.4
"2399",2019-07-27,0,30.6,15.6
"2400",2019-07-28,0,32.8,16.7
"2401",2019-07-29,0,32.8,18.3
"2402",2019-07-30,0,33.3,19.4
"2403",2019-07-31,5.6,33.3,20
"2404",2019-08-01,0,32.2,18.9
"2405",2019-08-02,6.3,32.2,18.9
"2406",2019-08-03,0,30.6,18.9
"2407",2019-08-04,0.3,32.2,18.9
"2408",2019-08-05,0,32.2,19.4
"2409",2019-08-06,0,32.2,18.9
"2410",2019-08-07,0,32.2,18.9
"2411",2019-08-08,0,32.2,19.4
"2412",2019-08-09,0,32.2,19.4
"2413",2019-08-10,0,32.2,18.9
"2414",2019-08-11,0,30,15.6
"2415",2019-08-12,0,32.8,15.6
"2416",2019-08-13,0,32.8,17.8
"2417",2019-08-14,0.8,35,23.3
"2418",2019-08-15,0,35,21.1
"2419",2019-08-16,5.3,33.3,20
"2420",2019-08-17,16.5,33.3,20
"2421",2019-08-18,0,33.9,20
"2422",2019-08-19,0,33.9,20
"2423",2019-08-20,0,33.9,21.1
"2424",2019-08-21,0,35,21.1
"2425",2019-08-22,0,35.6,21.1
"2426",2019-08-23,8.1,35.6,21.1
"2427",2019-08-24,38.1,30.6,17.2
"2428",2019-08-25,0.3,24.4,16.7
"2429",2019-08-26,0,24.4,16.7
"2430",2019-08-27,1,24.4,17.8
"2431",2019-08-28,3,30,18.3
"2432",2019-08-29,0,30,13.3
"2433",2019-08-30,0,31.1,13.3
"2434",2019-08-31,0,32.2,13.3
"2435",2019-09-01,0,32.2,16.7
"2436",2019-09-02,0,30.6,16.7
"2437",2019-09-03,1.3,31.1,16.7
"2438",2019-09-04,0,35,18.3
"2439",2019-09-05,0,35,18.3
"2440",2019-09-06,0,31.7,20.6
"2441",2019-09-07,0.3,31.7,16.7
"2442",2019-09-08,0,30.6,13.9
"2443",2019-09-09,0,30.6,13.9
"2444",2019-09-10,0,30.6,20.6
"2445",2019-09-11,0,35,20.6
"2446",2019-09-12,14.5,36.1,20.6
"2447",2019-09-13,0.5,36.1,20.6
"2448",2019-09-14,0,26.7,18.9
"2449",2019-09-15,3.8,30.6,18.3
"2450",2019-09-16,0,33.3,16.7
"2451",2019-09-17,0,33.3,16.7
"2452",2019-09-18,0,28.9,18.9
"2453",2019-09-19,0,25,15.6
"2454",2019-09-20,0,26.7,9.4
"2455",2019-09-21,0,31.1,9.4
"2456",2019-09-22,0,33.3,15.6
"2457",2019-09-23,0,33.3,17.8
"2458",2019-09-24,0,32.2,18.9
"2459",2019-09-25,0,29.4,11.7
"2460",2019-09-26,0,33.9,11.7
"2461",2019-09-27,0,33.9,15.6
"2462",2019-09-28,0,32.2,15.6
"2463",2019-09-29,13,33.3,19.4
"2464",2019-09-30,0,33.3,19.4
"2465",2019-10-01,0.3,32.8,20.6
"2466",2019-10-02,0,34.4,20.6
"2467",2019-10-03,0,36.7,20.6
"2468",2019-10-04,0,36.7,20.6
"2469",2019-10-05,0,31.7,11.1
"2470",2019-10-06,4.6,20.6,11.1
"2471",2019-10-07,0,26.1,12.8
"2472",2019-10-08,3.8,23.3,13
"2473",2019-10-09,7.6,22.8,12.8
"2474",2019-10-10,0,24.4,12.8
"2475",2019-10-11,0,26.1,9.4
"2476",2019-10-12,0,26.1,9.4
"2477",2019-10-13,0,25,10.6
"2478",2019-10-14,0,24.4,8.9
"2479",2019-10-15,0,24.4,6.1
"2480",2019-10-16,6.1,23.3,6.1
"2481",2019-10-17,18.5,17.8,8.9
"2482",2019-10-18,0,19.4,7.2
"2483",2019-10-19,0,19.4,2.2
"2484",2019-10-20,43.4,20.6,2.2
"2485",2019-10-21,0.8,20.6,10
"2486",2019-10-22,1.3,20,10.6
"2487",2019-10-23,11.7,20,8.9
"2488",2019-10-24,0,20,2.2
"2489",2019-10-25,0,20,2.2
"2490",2019-10-26,0.3,20,5.6
"2491",2019-10-27,23.9,23.9,12.2
"2492",2019-10-28,20.1,23.9,8.3
"2493",2019-10-29,0,21.1,8.3
"2494",2019-10-30,0,16.7,12.2
"2495",2019-10-31,18.8,25,15
"2496",2019-11-01,20.1,15.6,2.8
"2497",2019-11-02,0,15,-1.1
"2498",2019-11-03,0,15,-1.1
"2499",2019-11-04,0,15.6,-1.7
"2500",2019-11-05,0,18.9,-1.7
"2501",2019-11-06,0,18.9,0.6
"2502",2019-11-07,0,16.7,4.4
"2503",2019-11-08,0.5,16.7,0.6
"2504",2019-11-09,0,10,-5
"2505",2019-11-10,0,20,-5
"2506",2019-11-11,0,21.1,-1.7
"2507",2019-11-12,0,21.1,-2.8
"2508",2019-11-13,0.5,2.2,-7.8
"2509",2019-11-14,0,6.7,-7.8
"2510",2019-11-15,0,12.2,-7.8
"2511",2019-11-16,0,12.2,-1.1
"2512",2019-11-17,0,8.9,-1.1
"2513",2019-11-18,0,7.8,1.7
"2514",2019-11-19,4.3,11.7,2.2
"2515",2019-11-20,0,13.3,2.2
"2516",2019-11-21,0,13.3,0.6
"2517",2019-11-22,0,15.6,0.6
"2518",2019-11-23,0.5,15.6,1.1
"2519",2019-11-24,12.7,11.1,1.1
"2520",2019-11-25,0.3,15.6,1.1
"2521",2019-11-26,0,16.7,1.1
"2522",2019-11-27,3.3,20,1.1
"2523",2019-11-28,2.3,20,4.4
"2524",2019-11-29,0,13.3,2.8
"2525",2019-11-30,0.3,13.3,2.8
"2526",2019-12-01,23.4,10,3.9
"2527",2019-12-02,12.4,7.2,2.8
"2528",2019-12-03,0,7.2,2.2
"2529",2019-12-04,0,11.7,0.6
"2530",2019-12-05,0,12.2,0.6
"2531",2019-12-06,0,12.2,0
"2532",2019-12-07,0,12.2,0
"2533",2019-12-08,0,9.4,-1.1
"2534",2019-12-09,2.3,7.8,-1.1
"2535",2019-12-10,10.9,13.3,0.6
"2536",2019-12-11,1.8,13.3,-0.6
"2537",2019-12-12,0,6.1,-5
"2538",2019-12-13,4.8,4.4,-5
"2539",2019-12-14,17.8,12.8,-1.1
"2540",2019-12-15,2.3,12.8,2.8
"2541",2019-12-16,0,12.2,2.8
"2542",2019-12-17,0.5,11.7,2.8
"2543",2019-12-18,0.5,11.7,-2.8
"2544",2019-12-19,0,6.7,-5.6
"2545",2019-12-20,0,12.2,-5.6
"2546",2019-12-21,0,12.2,-3.3
"2547",2019-12-22,0,9.4,-1.7
"2548",2019-12-23,0,11.7,-1.7
"2549",2019-12-24,0,18.3,0.6
"2550",2019-12-25,0,18.3,-0.6
"2551",2019-12-26,0,20,-0.6
"2552",2019-12-27,0,20,0.6
"2553",2019-12-28,0,20,3.9
"2554",2019-12-29,2,20,5
"2555",2019-12-30,2.3,19.4,7.2
"2556",2019-12-31,0.3,19.4,3.9
"2557",2020-01-01,0,11.7,5
